书名,作者,出版社,出版时间,价格,页数,简介,类别,小图标,大图标
醒世恒言(插图本),冯梦龙,岳麓书社,,36.10,469,《醒世恒言》与《喻世明言》、《警世通言》俗称《三言》，是我国古代文学史上第一部规模宏大的白话短篇小说集。与《两拍》并称明代市民文学的代表作，开创中国小说的新领域。此书对封建传统观念的冲击，有如欧洲文艺复兴时期的《十日谈》。其内容丰富，有反映爱情婚姻的；有抑扬封建官吏，暴露吏治黑暗的；有讴歌行侠仗义，谴责忘恩负义的。故事情节离奇曲折，人物个性鲜明，充满情趣！,文学艺术>文学>中国文学,"https://img8.xinhuashudian.com/bookbasepic/C/00141/78066571500897016-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img8.xinhuashudian.com/bookbasepic/C/00141/78066571500897016-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
西游记(四大古典文学名著普及版)(精),(明)吴承恩,岳麓书社,,12.35,681,小说描写了孙悟空、猪八戒、沙和尚保护唐三藏去西天取经，历经八十一难，取回真经，皆成正果的故事。小说充满了神奇的幻想，在读者面前展开了一个五光十色的幻想世界。本书为四大古典文学名著普及版精装本。,文学艺术>文学>中国文学,"https://img5.xinhuashudian.com/bookbasepic/C/00141/78066571180897036-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img5.xinhuashudian.com/bookbasepic/C/00141/78066571180897036-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
中国年度小小说(2005),杨晓敏//郭昕//寇云峰,漓江出版社,,23.56,342,汪曾祺，冯骥才，王蒙，聂鑫森，孙春平，蒋子龙，邓洪卫，何立伟，蒋方舟......164位作家的163篇佳作，有的直面生活，有的回归古典，或朴实真切，或明快晓畅，无不短小精悍，言简意赅，从生活中一个个小小的截面，引申出社会和人生的某些状态和意义，发人深省。小小说的轻捷灵便、单纯通透的文体优势，为你带来了时尚性的阅读快感！,文学艺术>文学>中国文学,"https://img6.xinhuashudian.com/bookbasepic/C/00132/75407357080889571-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img6.xinhuashudian.com/bookbasepic/C/00132/75407357080889571-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
象牙塔,冷情,长征出版社,,23.75,201,本书是北大博士声导师曹文轩教授作序并推荐，大型青春文丛“心香七瓣”创始人冷情“校园三部曲”之二，一洗青春文学浮躁之风，屡破文学网站搜索记录。本书是用章回体的形式写成的，写“就业和爱情的摇摆”，将中国古典审美与西方现代派小说技巧完美结合，或凝重，或轻灵，或严谨，或幽默，善于捕捉最细微的感动因素，只言片语勾画一个意境......,文学艺术>文学>中国文学,"https://img7.xinhuashudian.com/bookbasepic/C/00132/78020409060889730-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img7.xinhuashudian.com/bookbasepic/C/00132/78020409060889730-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
北京流水,赵波,上海文艺出版社,2005-09-01,19.00,265,青年女作家赵波的随笔集，集合了她从南方到北京五年来对生活、电影、小说、音乐、心理测试、男人、女人、爱情等话题的随想。是一本女人写给女人的经验之书，都市熟女的典范生活。,文学艺术>文学>中国文学,"https://img9.xinhuashudian.com/bookbasepic/C/00143/75321290470897624-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img9.xinhuashudian.com/bookbasepic/C/00143/75321290470897624-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
正说历代非常女性全集,赵学儒,武汉大学出版社,2006-01-01,28.31,328,都说女性撑起半边天，即使是封建的古代，受到压制的女性，依然不减她们的风采，历朝历代，都可以看见出类拔萃的女性，甚至在非常时代，她们还起到安邦定国的作用。当然，这些知名的女性中，还有许多所谓的“红颜祸水”，可实际上，祸国不在红颜，而在爱红颜之人。无论我们后人的评价如何，她们都是影响着中国历史的“重要人物”！,文学艺术>文学>中国文学,"https://img7.xinhuashudian.com/bookbasepic/C/00163/73070480270909289-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img7.xinhuashudian.com/bookbasepic/C/00163/73070480270909289-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
倚天屠龙记(新修版共4册)/口袋本金庸作品集,金庸,广州出版社,,30.40,1589,杨逍与纪晓芙可歌可泣的爱惰故事，张翠山和殷素素为爱情及气节自尽，张无忌与赵敏及周芷若纠缠不清的情债；上一代的恩，下一代的怨，全是金庸笔下的《倚天屠龙记》！元末，江湖盛传，“武林至尊，宝刀改屠龙，号令天下，莫敢不从，倚天不出，谁与争锋””。由此引发了江湖人对屠龙刀与倚天剑的争夺......,文学艺术>文学>中国文学,"https://img8.xinhuashudian.com/bookbasepic/C/00143/78073108630898047-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img8.xinhuashudian.com/bookbasepic/C/00143/78073108630898047-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
逝去的欧若拉,十四阙,现代出版社,2006-01-01,17.10,228,在不同的肘空中穿梭寻找，因找不到而备受折磨，可是现在。被他终于找到了，却不是解脱，不是幸福的折回，而是陷入更加不堪的境地。只不过是因为不爱一个女神，所以就受到这样的惩罚，眼睁睁地看着恋人死去，上一次死的不过是身，这一次，死的却是心......异域风情，时空之旅！千年追寻的浪漫神话，哀艳绝伦的唯美诗篇，煽情、痛楚淋漓尽致展现在你眼前！！,文学艺术>文学>中国文学,"https://img3.xinhuashudian.com/bookbasepic/C/00141/78018862590896731-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img3.xinhuashudian.com/bookbasepic/C/00141/78018862590896731-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
雪惑潋镜月天(2),晴空,百花洲文艺出版社,2005-11-01,21.85,462,前所未有的“骑士幻想”文学惊现文坛，狂飙突进的“武侠PK”运动席卷而来。逾50，000，000次网络点击，少女金庸颠峰对决......沧月、江南、藤萍、老猪、今何在、燕垒生、蒋胜男等热力推荐。小说主要讲述了一个冷酷如刀锋、夺目如骄阳的传奇。,文学艺术>文学>中国文学,"https://img7.xinhuashudian.com/bookbasepic/C/00148/78064791120900695-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img7.xinhuashudian.com/bookbasepic/C/00148/78064791120900695-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
管仲,王学东,解放军出版社,,22.80,334,本书站在历史高度，对春秋战国时期的一代英才、大谋略家管仲，进行了生动、细致地描述，是一部历史感很强的传记文学作品。作品在人物的外在形象和心灵世界上狠下功夫，既勾勒出他辅佐齐恒公成就霸业的辉煌业绩，又刻画出他作为完成齐国“九合诸侯，一匡天下”的霸业之魂的心理历程。人物性格丰满，历史情境逼真，重大事件传神，行文流畅，故事生动，具有一定的艺术品位。,文学艺术>文学>中国文学,"https://img9.xinhuashudian.com/bookbasepic/C/00145/75065506360898901-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img9.xinhuashudian.com/bookbasepic/C/00145/75065506360898901-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
一个人能走多远,丁琪,深圳报业集团出版社,,24.70,281,不写商道，却有商机，不谈道德，却含伦理，不说爱情，却见缠绵，不是自传，却异常真实......一个深圳广告公司女老板的沸腾人生，这是一部自我体验式小说，作者为深圳年轻的女老板丁琪。她以自我创业生涯为参照系，深刻地剖析了当代女性不甘平庸，为了追求自我价值的实现，在创业的过程中经历着情感生活的激荡，从挫折和失败中吸取营养，与困难顽强抗争的人生历程和心路历程。,文学艺术>文学>中国文学,"https://img7.xinhuashudian.com/bookbasepic/C/00149/78070906180900378-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img7.xinhuashudian.com/bookbasepic/C/00149/78070906180900378-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
太空蜘蛛王/宇宙奇幻系列,杨鹏,农村读物出版社,,11.40,184,这是一本纯想象的宇宙奇幻系列小说。曲折离奇的故事，惊心动魄的场景，瑰丽丰沛的想象，呈现给奇幻文学爱好者一个尽可能全面，风格又多样化的幻想世界，使作品于扑朔迷离间具有很强的可读性。希望呈现给奇幻文学爱好者一个尽可能全面的幻想世界。,文学艺术>文学>中国文学,"https://img3.xinhuashudian.com/bookbasepic/C/00148/75048480340900047-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img3.xinhuashudian.com/bookbasepic/C/00148/75048480340900047-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
孤独还会有多久(中年人婚恋纪实),樊爱国//左心平,四川人民出版社,,17.10,223,人到中年，生活的重负，或许会冲淡昔日的热情与浪漫，无论你是处于事业的峰顶或是低谷，你总会遭遇不同的情感孤独，如何度过中年危机，这是许多步入中年者必须面对的现实。本书提供了形形色色的婚姻案例，有正面的有反面的，我们希望读者能从失败和痛苦中吸取经验和教训，警戒自己，不要因为一时的贫欲和情欲而毁了一个美好的家庭，让自己永远在忏悔中悲伤。同时更要学习那些和谐的婚姻，让自己获得一生的幸福。,文学艺术>文学>中国文学,"https://img5.xinhuashudian.com/bookbasepic/C/00149/722007025X0900204-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img5.xinhuashudian.com/bookbasepic/C/00149/722007025X0900204-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
余华精选集(世纪文学60家),余华,北京燕山出版社,2006-01-01,14.25,196,他对人生冷峻的剖析与拷问；他对历史与现实清醒的警惕姿态；他对底层生存的热烈而朴素的爱；他对人性在苦难中散发出的金子般的光辉的觉悟书写！他是谁？他就是《活着》和《兄弟》的作者余华，20世纪80年代的余华具备了陀斯妥耶夫斯基的那种逼视世界、洞视存在的勇气与锐利。本书是他最具代表性的作品精选，他在这些作品中像陀氏那样俯身向无底的深渊、在黑暗面前坚持睁大他那双残酷的眼睛、试图穿透这无边的黑暗、抵达那背后人人讳莫如深的真相。,文学艺术>文学>中国文学,"https://img9.xinhuashudian.com/bookbasepic/C/00135/75402030480892807-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img9.xinhuashudian.com/bookbasepic/C/00135/75402030480892807-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
遗迹,游素兰,北岳文艺出版社,,17.10,167,本书是游素兰另一种新尝试的创意表现，全书由31页的漫画和近4万字的小说组成，叙述一段凄美的人神之恋。这部小说是游素兰风格的完美体现，是游迷们期待已久的收藏。美丽恒远的讴歌，是我对你仅有的思念，如果思念给人勇气与希冀，那么我早已经拥有全世界。,文学艺术>文学>中国文学,"https://img5.xinhuashudian.com/bookbasepic/C/00157/753782844X0906237-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img5.xinhuashudian.com/bookbasepic/C/00157/753782844X0906237-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
落红,离离原上草,朝华出版社,2006-03-01,17.86,294,,文学艺术>文学>中国文学,https://img1.xinhuashudian.com/images/2018/08/08/d401a4a4-7d5e-45c9-b22e-e4c793a3f853.png,https://img1.xinhuashudian.com/images/2018/08/08/d401a4a4-7d5e-45c9-b22e-e4c793a3f853.png
故事会(2005半月刊合订本12总期数354-357),故事会编辑部,上海文艺出版社,,9.50,94,林林总总故事，道尽人生百味；恩恩怨怨情仇，述说世间万象。创刊于1963年的《故事会》是中国的老牌刊物之一，也是中国期刊界一个长盛不衰的传奇。本本精彩如锦帛，篇篇璀璨赛珠玑。内容以优秀中短篇故事和反映全国城乡社会热点新故事为主，辅以优秀古代民间传说故事，贴近生活，情节生动感人，图文并茂，雅俗共赏，肯定让你爱不释手。休闲时光，有它陪你一起度过！,文学艺术>文学>中国文学,"https://img2.xinhuashudian.com/bookbasepic/C/00157/75321296670906104-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img2.xinhuashudian.com/bookbasepic/C/00157/75321296670906104-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
狼孩,郭雪波,漓江出版社,,23.56,301,村子里的人杀死了狼的两个孩子，公狼为了救被人类抢走的孩子也死在了乱棍之下，我因为养下了小狼而导致襁褓中的弟弟被母狼抢走，从此狼与人的界限开始模糊。人和狼都为了夺回孩子而斗争着，而这被狼哺育的人的孩子回到人类社会后又会怎样？生存角色的互换，人性与狼性的呈现，两人家庭的破裂和重组，展示了宽厚纯朴的大自然与人类的邪恶食欲之间不可调和的矛盾，同时也浓墨重彩地凸现了狼的性格和母性之爱，梦幻般的科尔沁大草原上，人和狼演绎的回归无路的悲情故事，成就了草原文化的惊心动魄之作。,文学艺术>文学>中国文学,"https://img7.xinhuashudian.com/bookbasepic/C/00170/75407366820913123-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img7.xinhuashudian.com/bookbasepic/C/00170/75407366820913123-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
酥糖公子,楚惜刀,作家出版社,,15.20,219,神女楚惜刀、鬼新娘goodnight小青、人偶师窃书女子、妖姬暗、魔婴冥灵——驰名网络的五个女子，今以五界之名结盟，携言情、武侠、历史传奇、奇幻、知识悬疑五大领域风雷，催生阅读的快乐之花在你心灵破茧。书中苏傥、卢绣儿、成茗，这三个人的感情世界中注定有人会受伤!原本诙谐的欢喜冤家，却被第三份迟到的执着搅乱了一池春水......文笔灵动多变，时而绮丽妖娆，时而轻松明快，时而诡异莫明，时而睿智冷峻，写尽众生百态。使您爱不释手！,文学艺术>文学>中国文学,"https://img2.xinhuashudian.com/bookbasepic/C/00141/75063353950896435-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img2.xinhuashudian.com/bookbasepic/C/00141/75063353950896435-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
欢喜城,冥灵,作家出版社,,17.10,237,神女楚惜刀、鬼新娘goodnight小青、人偶师窃书女子、妖姬暗、魔婴冥灵——驰名网络的五个女子，今以五界之名结盟，携言情、武侠、历史传奇、奇幻、知识悬疑五大领域风雷，催生阅读的快乐之花在你心灵破茧。书中时而悱恻缠绵，时而冷峻犀利。时而诙谐幽默，丝丝入扣，紧紧把握作读者每一根感官神经，故以其独特的文风与故事风靡整个网络，穿越今古，可谓网络玄异派的领军人物，风光一时无俩。,文学艺术>文学>中国文学,"https://img7.xinhuashudian.com/bookbasepic/C/00141/75063353600896437-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img7.xinhuashudian.com/bookbasepic/C/00141/75063353600896437-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
囚狐,小青,文化艺术出版社,,21.85,305,“天涯”、“晋江”、“榕树下”、“四月天”人气超高的网络作家——Goodnight小青点击率最高的八个玄幻小说尽收其中，惊世骇俗的文字，时而优柔，时而锋锐......,文学艺术>文学>中国文学,"https://img2.xinhuashudian.com/bookbasepic/C/00135/75039288160892656-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img2.xinhuashudian.com/bookbasepic/C/00135/75039288160892656-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
请你表扬/短篇王文丛,北北,文化艺术出版社,2006-01-01,17.10,325,曾热爱过文学的人，大概都不会忘记欧&middot;亨利、都德、契诃夫、海明威、鲁迅、汪曾琪等作家的短篇作品，即使是“先锋”、“现代”、“后现代”的作家，也不乏短小精致的传世之作。在当下时尚的文学消费潮流中，能够挽回文学精致的写作和阅读，张扬短篇小说大概是有效的方式之一。本书精选了北北14篇优秀短篇精华，其中《请你表扬》被改编成电影，由王志文、范伟、陈好、苗圃主演。,文学艺术>文学>中国文学,"https://img6.xinhuashudian.com/bookbasepic/C/00135/75039286460892664-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img6.xinhuashudian.com/bookbasepic/C/00135/75039286460892664-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
幸福的西红柿,叶细细,北京出版社,,17.10,220,这是一本和食物有关的爱情美文书，食物只是其中的一个载体，它承载的是人生、爱情、梦想之类的人生故事。这些或甜或酸或辣或苦的食物，都和一个幸福、忧伤、热烈、悲情的人生经历有关。这些时尚作家们别出心裁地为我们记录下了一段段青春真实经历过的点点滴滴......,文学艺术>文学>中国文学,"https://img9.xinhuashudian.com/bookbasepic/C/00172/72000619210915262-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img9.xinhuashudian.com/bookbasepic/C/00172/72000619210915262-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
水浒传(精),(明)施耐庵//(明)罗贯中,金盾出版社,,21.38,961,《水浒传》是我国第一部以农民起义为题材的长篇章回小说，是我国文学史上一座巍然屹立的丰碑，也是世界文学宝库中一颗光彩夺目的明珠。数百年来，它一直深受我国人民的喜爱，并被译为多种文字，成为我国流传最为广泛的古代长篇小说之一。,文学艺术>文学>中国文学,"https://img6.xinhuashudian.com/bookbasepic/C/00183/75082389230921279-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img6.xinhuashudian.com/bookbasepic/C/00183/75082389230921279-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
就怕见到你/白领休闲系列,贝鲁平,作家出版社,2004-02-01,14.25,217,,文学艺术>文学>中国文学,https://img1.xinhuashudian.com/images/2018/08/08/d401a4a4-7d5e-45c9-b22e-e4c793a3f853.png,https://img1.xinhuashudian.com/images/2018/08/08/d401a4a4-7d5e-45c9-b22e-e4c793a3f853.png
荒芜之神(赫界Ⅱ),林慕枫,北岳文艺出版社,2006-01-01,22.33,230,&quot;赫界&quot;是埃及神话中的众神之国，&quot;塔罗天书&quot;则是传说中的圣物，也是&quot;塔罗牌&quot;的源头。它记录着&quot;智慧之神--塔罗&quot;的全部知识，也包括众神消失于大地的灵魂。哈姆雷特最古老的版本《赫界》，洋洋上下两部《塔罗天书》、《荒芜之神》带领我们进入众神之国，在战争的残酷之中感受忠诚、坚定、不懈，友情、爱情、亲情。历史的脚步下无数无法跟上的生命被踩的粉碎，无论是人还是神......这是一部浩大的传奇，关于神，关于爱，关于死亡，关于复仇，关于完美......的传说，随书附赠22张精美塔罗牌“揭”下属于你的隐秘传奇！,文学艺术>文学>中国文学,"https://img5.xinhuashudian.com/bookbasepic/C/00157/75378282450906228-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img5.xinhuashudian.com/bookbasepic/C/00157/75378282450906228-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
新客家人,何美中,花城出版社,,27.55,496,这是部带有传奇色彩的历史小说。书中的主人公均系历史著名人物，像霍去病、董仲舒等人。通过阅读本书，你将知道一些从未人知的历史。书中叙说，董仲舒是“新客家人”后代。那么，“新客家人”到底是什么人，他们又有什么传奇色彩的人生故事呢？,文学艺术>文学>中国文学,"https://img5.xinhuashudian.com/bookbasepic/C/00132/75360461380889283-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img5.xinhuashudian.com/bookbasepic/C/00132/75360461380889283-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
异世天魔录(3神殿骑士)/非凡奇幻魔法系列,孤云白鹤,安徽文艺出版社,2005-09-01,17.10,182,白鹤，一个平凡的大学生，偶然问被选中的新一代暗黑魔王。转世重生的他拥有龙一样健硕的体魄、魔法无边的力量及魔头凶残的性情。他肩负着振兴魔族的使命，把刀蜂直接对准了善良的人族及高尚的神族......一时间，异世界风烟骤起，血光迸放，人族顿陷生死渊崖......这是一场正义与光明的混战，更是白鹤心中人性与魔性的交锋。他是否会泯灭良知，滑向恶魔深渊呢?他是否会战胜人族和神族，实现前世魔王的遗愿呢?......,文学艺术>文学>中国文学,"https://img8.xinhuashudian.com/bookbasepic/C/00168/75396262590911635-fm.jpg?x-oss-process=image/resize,m_mfit,h_160,w_160","https://img8.xinhuashudian.com/bookbasepic/C/00168/75396262590911635-fm.jpg?x-oss-process=image/resize,m_mfit,h_375,w_375"
